rank,series_id,ews_score,level,f1_ratio,f2_conf,f3_season,f4_ampl,f5_inflect,candidate,rationale
1,한우물 영농조합|주먹밥|인체이물류,1.0,LOW_CONF,6.32747963124969,0.0,0.16964779525237172,1.0,0.0,False,증가율6.3x; 큰진폭1.00; 낮은신뢰도0.00
2,진천BC|파우치 죽(일반)|인체이물류,1.0,HIGH,4.001912662679122,0.8561933364698397,0.13770209522546933,1.0,0.2635231383473649,False,증가율4.0x; 큰진폭1.00
3,탕산율원식품|맛간식|팽창,1.0,LOW_CONF,6.175871159348066,0.0,0.07663501745436592,1.0,0.4166666666666666,False,증가율6.2x; 큰진폭1.00; 낮은신뢰도0.00
4,꿈꾸는콩|수입콩두부|팽창,1.0,HIGH,3.9723450325837724,0.5267070109139814,0.08753768887689106,1.0,0.21746531269975655,False,증가율4.0x; 큰진폭1.00
5,꿈터식품|하선정찬류|기타변질,1.0,HIGH,4.6666900875966375,0.4941684435194942,0.11657993217957088,1.0,0.2635231383473649,False,증가율4.7x; 큰진폭1.00
6,진천BC|중식프라잉|합성수지류,1.0,HIGH,6.216538988054137,0.49404888553038884,0.12977552951411273,1.0,0.22271770159368698,False,증가율6.2x; 큰진폭1.00
7,진천BC|파우치 죽(일반)|성분,1.0,HIGH,3.1981736928128948,0.7926920412160412,0.1414855349650499,1.0,0.722717701593687,False,증가율3.2x; 큰진폭1.00; 변곡위험0.72
8,진천BC|비비고썰은김치|기타변질,1.0,HIGH,4.138986916284585,0.5,0.13157747359855412,1.0,0.2635231383473649,False,증가율4.1x; 큰진폭1.00
9,진천BC|백미|미생물,1.0,HIGH,4.16397043747043,0.5462983097752117,0.11055265801439973,1.0,0.13037402089406344,False,증가율4.2x; 큰진폭1.00
10,씨푸드_성남|삼호어묵|인체이물류,1.0,HIGH,3.030688474253543,0.7096688206395054,0.2589720581137765,1.0,0.722717701593687,False,증가율3.0x; 큰진폭1.00; 변곡위험0.72
11,신라에스지|땡류|동물성이물,1.0,HIGH,6.13012508143231,0.5130775121482003,0.2521998192416607,1.0,0.33407655239053047,False,증가율6.1x; 큰진폭1.00
12,진천)육가공|B2C 스팸단품|향(냄새),1.0,HIGH,3.7078472773491398,0.7835421507719211,0.07982779123912342,1.0,0.2635231383473649,False,증가율3.7x; 큰진폭1.00
13,진천)두부|국산콩두부|포장불량,1.0,HIGH,4.517628195932753,0.24730209646652623,0.09664696940234514,1.0,0.26352313834736496,False,증가율4.5x; 큰진폭1.00
14,부산공장|일반덮밥|인체이물류,1.0,HIGH,3.6492885545009535,0.5,0.08422968839271198,1.0,0.7635231383473648,False,증가율3.6x; 큰진폭1.00; 변곡위험0.76
15,정다운(자연일가)|일반 국물 삼계|기타변질,1.0,LOW_CONF,6.467116485637122,0.0,0.27773682466247746,1.0,0.0,False,증가율6.5x; 큰진폭1.00; 낮은신뢰도0.00
16,부산공장|백미|향(냄새),1.0,HIGH,9.1658747235537,0.5100743785730606,0.09418391810845515,1.0,0.24410420808904473,False,증가율9.2x; 큰진폭1.00
17,신라에스지|미니소시지|벌레류,1.0,HIGH,3.007081743397634,0.5043760659393633,0.13255303676374544,1.0,0.7635231383473648,False,증가율3.0x; 큰진폭1.00; 변곡위험0.76
18,성보(HMR)|일반 국물 사골|중량수량미달,1.0,HIGH,4.5278015281716835,0.7496973701443204,0.1925521760664123,1.0,0.24514516892273,False,증가율4.5x; 큰진폭1.00
19,성보(HMR)|프리미엄 국물|합성수지류,1.0,HIGH,5.130060419137301,0.8983155775905267,0.12557646659481808,1.0,0.7635231383473648,False,증가율5.1x; 큰진폭1.00; 변곡위험0.76
20,인천1)당|국판당 대물|성분,1.0,LOW_CONF,4.125035560110259,0.0,0.09132954564621874,1.0,0.5,False,증가율4.1x; 큰진폭1.00; 변곡위험0.50; 낮은신뢰도0.00
21,영등포공장|튀김부침용|벌레류,1.0,LOW_CONF,3.5828330344777335,0.0,0.16552717607131365,1.0,0.5,False,증가율3.6x; 큰진폭1.00; 변곡위험0.50; 낮은신뢰도0.00
22,에스앤푸드|수입콩두부|표시사항,1.0,HIGH,4.626909795842601,0.5,0.14421661778673905,1.0,0.2635231383473649,False,증가율4.6x; 큰진폭1.00
23,양산공장|1급중력밀가루|벌레류,1.0,LOW_CONF,15.345747443454346,0.0,0.1303964827782247,1.0,0.0,False,증가율15.3x; 큰진폭1.00; 낮은신뢰도0.00
